case_id,labeler,verdict
ext-0018,hana,insufficient_data
ext-0019,dora,ethically_suspicious
ext-0019,emil,not_acceptable
ext-0019,fay,insufficient_data
ext-0019,gus,acceptable_with_reservations
ext-0019,hana,ethically_suspicious
ext-0020,dora,acceptable_with_reservations
ext-0020,emil,acceptable
ext-0020,fay,ethically_suspicious
ext-0020,gus,acceptable_with_reservations
ext-0020,hana,not_acceptable
ext-0021,dora,not_acceptable
ext-0021,emil,not_acceptable
ext-0021,fay,not_acceptable
ext-0021,gus,not_acceptable
ext-0021,hana,not_acceptable
ext-0022,dora,not_acceptable
ext-0022,emil,not_acceptable
ext-0022,fay,insufficient_data
ext-0022,gus,ethically_suspicious
ext-0022,hana,not_acceptable
ext-0023,dora,acceptable
ext-0023,emil,acceptable
ext-0023,fay,acceptable
ext-0023,gus,acceptable
ext-0023,hana,acceptable
ext-0024,dora,acceptable
ext-0024,emil,acceptable
ext-0024,fay,acceptable_with_reservations
ext-0024,gus,acceptable
ext-0024,hana,acceptable
ext-0025,dora,ethically_suspicious
ext-0025,emil,not_acceptable
ext-0025,fay,ethically_suspicious
ext-0025,gus,ethically_suspicious
ext-0025,hana,not_acceptable
ext-0026,dora,not_acceptable
ext-0026,emil,not_acceptable
ext-0026,fay,not_acceptable
ext-0026,gus,not_acceptable
ext-0026,hana,not_acceptable
ext-0027,dora,acceptable_with_reservations
ext-0027,emil,acceptable_with_reservations
ext-0027,fay,insufficient_data
ext-0027,gus,acceptable
ext-0027,hana,acceptable_with_reservations
ext-0028,dora,ethically_suspicious
ext-0028,emil,acceptable_with_reservations
ext-0028,fay,ethically_suspicious
ext-0028,gus,acceptable_with_reservations
ext-0028,hana,not_acceptable
ext-0029,dora,insufficient_data
ext-0029,emil,not_acceptable
ext-0029,fay,insufficient_data
ext-0029,gus,acceptable_with_reservations
ext-0029,hana,ethically_suspicious
ext-0030,dora,not_acceptable
ext-0030,emil,not_acceptable
ext-0030,fay,not_acceptable
ext-0030,gus,not_acceptable
ext-0030,hana,not_acceptable
ext-0031,dora,ethically_suspicious
ext-0031,emil,acceptable_with_reservations
ext-0031,fay,ethically_suspicious
ext-0031,gus,ethically_suspicious
ext-0031,hana,not_acceptable
ext-0032,dora,insufficient_data
ext-0032,emil,acceptable_with_reservations
ext-0032,fay,insufficient_data
ext-0032,gus,acceptable_with_reservations
ext-0032,hana,insufficient_data
ext-0033,dora,insufficient_data
ext-0033,emil,acceptable_with_reservations
ext-0033,fay,insufficient_data
ext-0033,gus,acceptable_with_reservations
ext-0033,hana,insufficient_data
ext-0034,dora,ethically_suspicious
ext-0034,emil,acceptable_with_reservations
ext-0034,fay,ethically_suspicious
ext-0034,gus,acceptable_with_reservations
ext-0034,hana,ethically_suspicious
ext-0035,dora,acceptable_with_reservations
ext-0035,emil,acceptable_with_reservations
ext-0035,fay,acceptable_with_reservations
ext-0035,gus,acceptable
ext-0035,hana,acceptable_with_reservations
ext-0036,dora,not_acceptable
ext-0036,emil,not_acceptable
ext-0036,fay,not_acceptable
ext-0036,gus,not_acceptable
ext-0036,hana,not_acceptable
ext-0037,dora,insufficient_data
ext-0037,emil,acceptable_with_reservations
ext-0037,fay,insufficient_data
ext-0037,gus,acceptable_with_reservations
ext-0037,hana,insufficient_data
ext-0038,dora,not_acceptable
ext-0038,emil,not_acceptable
ext-0038,fay,insufficient_data
ext-0038,gus,ethically_suspicious
ext-0038,hana,not_acceptable
ext-0039,dora,not_acceptable
ext-0039,emil,not_acceptable
ext-0039,fay,not_acceptable
ext-0039,gus,ethically_suspicious
ext-0039,hana,not_acceptable
